timestamp,open,high,low,close,volume
2024-10-01,0.3,4.94,0.3,4.013,105446991.19
2024-10-02,4.014,4.248,3.148,3.252,40379646.87
2024-10-03,3.253,3.717,3.169,3.352,22916641.74
2024-10-04,3.351,3.714,3.267,3.577,20560471.0
2024-10-05,3.575,3.623,3.169,3.181,15082463.91
2024-10-06,3.181,3.325,3.052,3.292,15137876.83
2024-10-07,3.291,3.676,3.284,3.361,17781897.54
2024-10-08,3.362,4.046,3.336,3.724,33593669.62
2024-10-09,3.727,4.164,3.573,3.667,33965864.33
2024-10-10,3.666,3.857,3.48,3.728,20299665.87
2024-10-11,3.728,4.133,3.678,3.924,21828163.56
2024-10-12,3.923,4.02,3.725,3.737,11637427.66
2024-10-13,3.737,3.769,3.481,3.57,12564376.21
2024-10-14,3.57,3.806,3.455,3.779,16492311.62
2024-10-15,3.78,3.813,3.402,3.514,14001458.43
2024-10-16,3.514,3.592,3.239,3.326,12447802.45
2024-10-17,3.326,3.41,3.104,3.252,9356776.63
2024-10-18,3.253,3.635,3.251,3.61,15801893.93
2024-10-19,3.61,3.725,3.558,3.674,9060972.74
2024-10-20,3.674,3.736,3.469,3.695,3421490.36
