timestamp,open,high,low,close,volume
2024-08-28,1.12,1.2005,1.1083,1.1107,5055595.0
2024-08-29,1.1107,1.1125,1.1044,1.1068,6456573.2
2024-08-30,1.1067,1.1093,1.1037,1.1042,12692577.2
2024-08-31,1.1042,1.1064,1.1039,1.1055,3306525.5
2024-09-01,1.1056,1.1056,1.0989,1.1034,1716613.1
2024-09-02,1.1034,1.1078,1.1031,1.1061,7466363.6
2024-09-03,1.106,1.1064,1.1024,1.1046,54784753.1
2024-09-04,1.1046,1.11,1.1036,1.1073,81735595.0
2024-09-05,1.1073,1.1117,1.1067,1.111,91064895.0
2024-09-06,1.1109,1.1159,1.103,1.1035,126679760.4
2024-09-07,1.1036,1.1072,1.0952,1.1048,2033023.6
2024-09-08,1.1048,1.1068,1.1047,1.106,1746331.3
2024-09-09,1.106,1.1068,1.1022,1.1032,24037124.3
2024-09-10,1.1032,1.1045,1.1013,1.1016,36578533.6
2024-09-11,1.1016,1.1047,1.0982,1.101,22867838.4
2024-09-12,1.101,1.1077,1.1003,1.1071,7495148.2
2024-09-13,1.1071,1.1096,1.1067,1.1074,10450393.6
2024-09-14,1.1075,1.1098,1.105,1.1082,1360221.6
2024-09-15,1.1083,1.1084,1.106,1.1083,1204635.4
2024-09-16,1.1083,1.1148,1.1082,1.1133,8803870.2
2024-09-17,1.1133,1.1139,1.1105,1.1118,10430060.9
2024-09-18,1.1117,1.1188,1.1095,1.1109,18815742.9
2024-09-19,1.1109,1.1172,1.1068,1.116,16528702.4
2024-09-20,1.116,1.1179,1.1128,1.1157,9425293.2
2024-09-21,1.1157,1.1161,1.1144,1.1153,1291144.7
2024-09-22,1.1154,1.1159,1.1148,1.1154,1804469.6
2024-09-23,1.1155,1.1167,1.108,1.1104,12201893.1
2024-09-24,1.1104,1.1184,1.11,1.1184,12498028.1
2024-09-25,1.1184,1.1208,1.1118,1.1128,14265184.5
2024-09-26,1.1128,1.1181,1.1123,1.117,10907159.5
2024-09-27,1.1171,1.1198,1.1123,1.1155,11453981.3
2024-09-28,1.1156,1.1162,1.1143,1.1155,1665308.0
2024-09-29,1.1155,1.1167,1.1141,1.1165,1611830.4
2024-09-30,1.1165,1.12,1.1118,1.1132,11016763.8
2024-10-01,1.1131,1.1144,1.1045,1.106,13681896.5
2024-10-02,1.106,1.1074,1.1028,1.1042,7226554.3
2024-10-03,1.1042,1.1043,1.1003,1.1028,11986433.7
2024-10-04,1.1028,1.1033,1.0943,1.0964,8201452.6
2024-10-05,1.0964,1.0975,1.096,1.0971,1425738.5
2024-10-06,1.0971,1.0976,1.0957,1.0969,1100273.7
2024-10-07,1.0969,1.0982,1.0952,1.0971,5242310.0
2024-10-08,1.0972,1.0994,1.0958,1.0977,9691049.0
2024-10-09,1.0977,1.098,1.0929,1.0939,7485894.1
2024-10-10,1.094,1.096,1.0878,1.0937,12246619.1
2024-10-11,1.0937,1.0966,1.0926,1.0947,6986282.1
2024-10-12,1.0947,1.0967,1.0941,1.0958,1879689.4
2024-10-13,1.0958,1.0974,1.0937,1.0962,2488437.5
2024-10-14,1.0961,1.0966,1.0913,1.0925,5147076.8
2024-10-15,1.0925,1.0925,1.0885,1.089,7249744.3
2024-10-16,1.089,1.0906,1.0856,1.0871,4773325.6
2024-10-17,1.0869,1.0877,1.0818,1.0844,5041947.0
2024-10-18,1.0844,1.0873,1.084,1.0865,3969443.2
2024-10-19,1.0864,1.0878,1.0849,1.0876,1097430.0
2024-10-20,1.0875,1.0882,1.0871,1.0876,195245.3
