timestamp,open,high,low,close,volume
2024-06-20,0.02,0.8161,0.02,0.6729,370385618.3
2024-06-21,0.6729,0.8571,0.6273,0.6484,340790445.2
2024-06-22,0.6488,0.7004,0.55,0.6168,188405446.4
2024-06-23,0.6169,0.6558,0.5561,0.5703,84495679.9
2024-06-24,0.5706,0.6773,0.5441,0.6538,155145159.3
2024-06-25,0.6537,0.7676,0.6477,0.7208,176787004.4
2024-06-26,0.7207,0.8293,0.6745,0.7925,141075204.3
2024-06-27,0.7924,0.8379,0.6918,0.7159,156955521.5
2024-06-28,0.7158,0.7656,0.6611,0.6685,103273219.7
2024-06-29,0.6686,0.6934,0.6305,0.6408,63344986.6
2024-06-30,0.6409,0.7285,0.628,0.7132,63794603.1
2024-07-01,0.7132,0.7459,0.6664,0.6687,66740095.2
2024-07-02,0.6685,0.6777,0.6322,0.6598,38647095.7
2024-07-03,0.6598,0.6706,0.6014,0.6121,31758998.8
2024-07-04,0.6122,0.6148,0.4961,0.5063,47834085.3
2024-07-05,0.5063,0.5121,0.4512,0.4823,59576860.6
2024-07-06,0.4822,0.555,0.4683,0.5514,73934076.6
2024-07-07,0.5512,0.5572,0.4557,0.4612,79499389.6
2024-07-08,0.4611,0.5185,0.4344,0.5035,69167217.0
2024-07-09,0.5036,0.5328,0.4918,0.5078,42115001.5
2024-07-10,0.5077,0.58,0.4981,0.5195,49207686.4
2024-07-11,0.5195,0.5418,0.4952,0.5001,30165606.5
2024-07-12,0.5,0.5411,0.4842,0.5276,25707123.9
2024-07-13,0.5275,0.557,0.51,0.5205,25571211.8
2024-07-14,0.5206,0.5855,0.5126,0.5733,26422856.1
2024-07-15,0.5732,0.6062,0.5495,0.5985,38665962.5
2024-07-16,0.5985,0.6034,0.5369,0.5646,40861225.1
2024-07-17,0.5648,0.583,0.5444,0.5608,28959512.3
2024-07-18,0.5608,0.582,0.5303,0.5625,23549522.2
2024-07-19,0.5625,0.567,0.5166,0.5522,25943628.7
2024-07-20,0.5524,0.6331,0.5517,0.596,49047080.7
2024-07-21,0.5958,0.6338,0.5543,0.5763,34667613.4
2024-07-22,0.5763,0.5982,0.5452,0.5523,21585857.1
2024-07-23,0.5524,0.5779,0.5389,0.548,21153862.5
2024-07-24,0.5477,0.5865,0.5397,0.5663,16120965.6
2024-07-25,0.5655,0.5698,0.4896,0.5168,20019873.2
2024-07-26,0.5171,0.5475,0.5154,0.5448,11163305.9
2024-07-27,0.5448,0.6112,0.541,0.5986,26488497.0
2024-07-28,0.5986,0.626,0.5669,0.5728,28543577.2
2024-07-29,0.5729,0.654,0.5705,0.6042,40129835.8
2024-07-30,0.6044,0.66,0.5334,0.5351,40223304.0
2024-07-31,0.5351,0.56,0.5156,0.5192,18917995.2
2024-08-01,0.5194,0.531,0.4438,0.4789,27046431.1
2024-08-02,0.4788,0.4843,0.4315,0.4353,19330227.2
2024-08-03,0.4354,0.4395,0.3705,0.3777,32091635.8
2024-08-04,0.3776,0.3934,0.3425,0.3622,21665143.7
2024-08-05,0.3623,0.3678,0.2502,0.2906,80669064.3
2024-08-06,0.2905,0.353,0.2897,0.3347,39686499.2
2024-08-07,0.3347,0.3502,0.3106,0.3173,23806903.9
2024-08-08,0.3176,0.39,0.3127,0.386,27797119.6
2024-08-09,0.386,0.3867,0.3561,0.3659,13125221.9
2024-08-10,0.366,0.375,0.3612,0.366,7453067.3
2024-08-11,0.3656,0.3774,0.3404,0.348,13754566.1
2024-08-12,0.348,0.3867,0.346,0.3741,19545426.4
2024-08-13,0.3741,0.4009,0.3529,0.382,22349852.8
2024-08-14,0.382,0.3896,0.3484,0.3566,27078385.8
2024-08-15,0.3565,0.3622,0.3264,0.3299,15084156.2
2024-08-16,0.3299,0.3398,0.3146,0.3256,14324558.0
2024-08-17,0.3257,0.4785,0.3232,0.4329,115938143.8
2024-08-18,0.433,0.463,0.3882,0.3973,105194243.3
2024-08-19,0.3973,0.4078,0.383,0.4053,23296386.5
2024-08-20,0.4056,0.4205,0.3824,0.394,17229086.3
2024-08-21,0.3939,0.4043,0.3755,0.4,13904476.1
2024-08-22,0.4004,0.4274,0.3977,0.4235,16761629.0
2024-08-23,0.4236,0.4887,0.4132,0.4703,22879558.0
2024-08-24,0.4703,0.4953,0.4532,0.4642,16362410.4
2024-08-25,0.4642,0.4664,0.4324,0.4369,13214099.6
2024-08-26,0.4369,0.445,0.3958,0.3971,12726889.6
2024-08-27,0.3972,0.4089,0.343,0.351,17922482.8
2024-08-28,0.3508,0.3622,0.3225,0.3376,15586168.1
2024-08-29,0.3378,0.3681,0.3373,0.3454,18376849.3
2024-08-30,0.3452,0.3523,0.3255,0.3453,11929507.9
2024-08-31,0.3453,0.3488,0.3295,0.3304,5065362.9
2024-09-01,0.3306,0.3324,0.3073,0.309,14880400.6
2024-09-02,0.3087,0.3419,0.3049,0.333,10687056.5
2024-09-03,0.333,0.3426,0.3183,0.3207,8642985.0
2024-09-04,0.3206,0.3447,0.2963,0.3343,16525002.0
2024-09-05,0.3344,0.3373,0.3187,0.3226,5116988.7
2024-09-06,0.3227,0.3358,0.2933,0.3096,11572733.7
2024-09-07,0.3092,0.3177,0.3007,0.3051,6473156.8
2024-09-08,0.3049,0.3228,0.3015,0.314,6127231.9
2024-09-09,0.3143,0.3409,0.3072,0.3333,12549206.3
2024-09-10,0.3334,0.3496,0.3284,0.3424,12233627.5
2024-09-11,0.3427,0.3429,0.314,0.3264,9689276.0
2024-09-12,0.3262,0.3563,0.3262,0.3508,10380017.2
2024-09-13,0.3509,0.364,0.3339,0.3594,11571202.5
2024-09-14,0.3596,0.3691,0.345,0.3504,8340497.7
2024-09-15,0.3506,0.3543,0.3246,0.3265,5746785.1
2024-09-16,0.3264,0.3621,0.3155,0.3235,36228817.1
2024-09-17,0.3235,0.3545,0.3181,0.3431,14665453.7
2024-09-18,0.3432,0.371,0.3288,0.3701,13972643.8
2024-09-19,0.3703,0.4078,0.3696,0.3731,26551201.4
2024-09-20,0.3734,0.3915,0.3497,0.3629,13659846.8
2024-09-21,0.3628,0.4439,0.3571,0.4214,42732241.0
