timestamp,open,high,low,close,volume
2024-04-17,1.0,55.5,1.0,27.14,8490145.87
2024-04-18,27.14,27.34,23.11,25.01,4607417.16
2024-04-19,25.0,27.47,22.14,25.4,2912068.19
2024-04-20,25.4,29.75,24.73,28.89,1865689.21
2024-04-21,28.89,29.99,25.43,25.89,1697067.44
2024-04-22,25.9,26.72,24.6,24.85,1404837.99
2024-04-23,24.82,26.07,23.07,23.18,1376868.43
2024-04-24,23.17,23.64,21.18,21.48,1381428.59
2024-04-25,21.47,22.07,20.5,21.78,1276180.16
2024-04-26,21.78,22.78,20.43,20.61,1248839.59
2024-04-27,20.62,20.92,18.9,20.42,1007386.45
2024-04-28,20.43,21.94,20.22,20.64,1026668.52
2024-04-29,20.65,21.43,19.27,20.52,993359.98
2024-04-30,20.52,21.03,17.7,18.3,1309603.51
2024-05-01,18.3,18.62,16.72,17.88,1209490.09
2024-05-02,17.88,18.34,17.14,17.97,616893.19
2024-05-03,17.97,24.72,17.68,19.57,3199499.2
2024-05-04,19.57,20.19,18.9,19.03,759290.11
2024-05-05,19.02,19.38,18.22,19.17,603490.12
2024-05-06,19.18,19.66,18.2,18.56,653153.91
2024-05-07,18.56,18.75,17.25,17.33,494713.81
2024-05-08,17.32,17.83,16.52,16.97,777276.08
2024-05-09,16.96,17.64,16.7,17.52,375273.31
2024-05-10,17.52,17.9,16.52,16.96,457513.5
2024-05-11,16.96,17.42,16.42,16.77,316947.68
2024-05-12,16.77,17.64,16.68,17.2,386867.34
2024-05-13,17.2,17.35,15.7,15.91,810529.02
2024-05-14,15.91,16.07,14.08,14.18,947643.48
2024-05-15,14.18,14.71,13.4,14.53,923960.86
2024-05-16,14.53,17.7,13.65,14.22,1050021.23
2024-05-17,14.21,15.7,14.13,15.14,572837.59
2024-05-18,15.14,15.32,14.48,14.81,339610.26
2024-05-19,14.82,15.06,13.65,13.77,400810.61
2024-05-20,13.76,15.78,13.4,15.63,695644.04
2024-05-21,15.63,15.99,15.2,15.77,664167.93
2024-05-22,15.76,15.96,14.47,14.84,491308.31
2024-05-23,14.84,15.73,14.41,15.57,823914.5
2024-05-24,15.55,16.28,14.59,15.72,662962.33
2024-05-25,15.74,17.53,15.6,17.14,922019.43
2024-05-26,17.14,20.43,16.88,19.96,2053221.93
2024-05-27,19.96,21.54,18.58,19.52,2235052.44
2024-05-28,19.53,19.66,18.05,18.9,962753.34
2024-05-29,18.91,19.92,18.25,18.38,693107.91
2024-05-30,18.39,19.06,17.9,18.42,553306.13
2024-05-31,18.41,21.96,18.36,20.41,1807889.72
2024-06-01,20.39,21.23,19.71,20.0,750236.26
2024-06-02,20.0,22.83,19.92,21.99,1369606.97
2024-06-03,21.99,22.49,20.36,20.45,790849.3
2024-06-04,20.44,21.2,19.74,19.98,590479.71
2024-06-05,19.98,21.09,19.35,20.96,615242.45
2024-06-06,20.97,21.65,19.86,20.07,664465.82
2024-06-07,20.07,20.49,15.61,18.08,1046473.25
2024-06-08,18.07,18.63,16.56,16.72,450034.46
2024-06-09,16.72,16.93,16.15,16.5,332993.39
2024-06-10,16.49,16.56,14.73,14.96,500465.62
2024-06-11,14.96,15.09,13.73,14.5,768725.88
2024-06-12,14.49,17.17,13.92,15.92,1329901.38
2024-06-13,15.92,17.88,15.14,16.96,1476534.85
2024-06-14,16.97,17.18,15.21,16.74,930316.23
2024-06-15,16.74,18.8,16.71,18.43,1004470.98
2024-06-16,18.44,18.67,17.63,17.7,450068.75
2024-06-17,17.71,17.74,15.02,15.08,1106712.08
2024-06-18,15.08,15.12,12.79,13.42,1435042.24
2024-06-19,13.41,14.69,13.1,14.32,863373.53
2024-06-20,14.32,14.8,13.65,14.01,615346.87
2024-06-21,14.02,14.5,13.46,14.12,416712.42
2024-06-22,14.12,14.39,13.76,13.85,184434.96
2024-06-23,13.85,14.38,13.07,13.19,284825.71
2024-06-24,13.18,14.03,12.8,13.95,467087.84
2024-06-25,13.95,14.59,13.86,14.29,399077.84
2024-06-26,14.28,14.82,13.75,13.91,238873.18
2024-06-27,13.9,14.35,13.43,13.93,297057.04
2024-06-28,13.93,14.7,13.66,13.73,531114.83
2024-06-29,13.72,14.61,13.65,13.72,382586.91
2024-06-30,13.72,14.81,13.19,14.55,529433.04
2024-07-01,14.55,15.22,14.33,14.54,468666.65
2024-07-02,14.53,16.45,13.98,16.37,900492.31
2024-07-03,16.38,16.57,15.25,15.67,882539.83
2024-07-04,15.68,15.79,12.47,12.57,1018377.53
2024-07-05,12.58,12.59,10.6,11.16,1404369.45
2024-07-06,11.16,12.73,10.93,12.62,889675.14
2024-07-07,12.61,12.87,11.83,11.88,799715.46
2024-07-08,11.88,13.26,11.24,11.99,745332.93
2024-07-09,11.98,12.38,11.85,12.29,463361.18
2024-07-10,12.29,12.95,11.99,12.57,468991.62
2024-07-11,12.57,12.97,11.87,12.01,535317.06
2024-07-12,12.01,12.49,11.79,12.35,296192.58
2024-07-13,12.35,12.49,11.91,12.12,280498.79
2024-07-14,12.12,12.71,11.82,12.59,384581.48
2024-07-15,12.59,13.51,12.49,13.42,501896.83
2024-07-16,13.41,13.78,12.62,13.49,681393.71
2024-07-17,13.5,14.14,13.05,13.14,645870.38
2024-07-18,13.14,13.73,12.67,13.41,585054.59
2024-07-19,13.39,13.86,12.91,13.67,431608.04
2024-07-20,13.68,14.1,13.23,14.01,688823.19
2024-07-21,14.0,14.26,13.0,13.87,520817.03
2024-07-22,13.89,14.5,12.58,12.62,526689.29
2024-07-23,12.62,13.2,12.23,12.49,515347.33
2024-07-24,12.49,12.67,11.82,11.99,240747.62
2024-07-25,11.99,12.02,10.5,11.08,860748.66
2024-07-26,11.09,11.86,11.01,11.75,428474.6
2024-07-27,11.76,12.23,11.5,11.99,418663.7
2024-07-28,11.99,12.06,11.5,11.66,187383.86
2024-07-29,11.67,12.26,11.25,11.4,509984.13
2024-07-30,11.39,11.61,10.74,11.03,253615.22
2024-07-31,11.02,11.47,10.89,10.94,302913.38
2024-08-01,10.93,11.03,9.29,9.86,835375.22
2024-08-02,9.86,10.01,8.77,8.88,959484.03
2024-08-03,8.89,9.13,8.08,8.31,666134.83
2024-08-04,8.31,8.59,7.52,7.81,547215.61
2024-08-05,7.81,7.88,5.94,6.75,2171237.8
2024-08-06,6.76,7.61,6.75,7.41,768157.85
2024-08-07,7.4,7.76,6.99,7.14,529906.97
2024-08-08,7.15,8.2,7.01,8.12,571022.52
2024-08-09,8.12,8.15,7.53,7.73,448549.12
2024-08-10,7.73,7.93,7.57,7.83,314236.52
2024-08-11,7.83,8.15,7.15,7.2,497368.31
2024-08-12,7.2,9.22,7.2,8.36,1203652.65
2024-08-13,8.36,8.42,7.8,8.14,715205.58
2024-08-14,8.13,8.17,7.46,7.57,581573.81
2024-08-15,7.58,7.67,6.96,7.12,581992.44
2024-08-16,7.13,7.28,6.91,7.17,407520.72
2024-08-17,7.17,7.71,7.06,7.49,667638.18
2024-08-18,7.49,7.67,7.3,7.41,593720.9
2024-08-19,7.41,7.89,7.33,7.79,707731.51
2024-08-20,7.78,7.95,7.28,7.58,498324.3
2024-08-21,7.58,7.86,7.29,7.76,457152.18
2024-08-22,7.76,7.97,7.64,7.92,403206.72
2024-08-23,7.92,8.69,7.84,8.56,862066.27
2024-08-24,8.56,9.45,8.46,8.98,906668.64
2024-08-25,8.98,9.0,8.37,8.65,497075.17
2024-08-26,8.65,8.76,7.85,7.87,424841.31
2024-08-27,7.86,8.21,7.02,7.17,511591.7
2024-08-28,7.16,7.48,6.74,6.96,613156.79
2024-08-29,6.95,7.5,6.93,7.08,446523.72
2024-08-30,7.08,7.23,6.68,7.12,314302.99
2024-08-31,7.11,7.18,6.74,6.86,255666.16
2024-09-01,6.87,6.89,6.45,6.47,267419.34
2024-09-02,6.46,7.0,6.42,6.94,314120.88
2024-09-03,6.94,7.1,6.54,6.57,304843.28
2024-09-04,6.57,6.91,6.14,6.76,478287.69
2024-09-05,6.76,7.0,6.65,6.77,397960.74
2024-09-06,6.76,7.2,6.35,6.65,673861.5
2024-09-07,6.65,7.17,6.57,6.82,369239.04
2024-09-08,6.81,7.4,6.79,7.14,467210.29
2024-09-09,7.15,7.51,7.03,7.34,381045.35
2024-09-10,7.34,7.44,7.11,7.3,401615.87
2024-09-11,7.3,7.32,6.78,7.01,382635.23
2024-09-12,7.0,7.3,6.94,7.27,293113.68
2024-09-13,7.27,7.68,7.1,7.58,407692.48
2024-09-14,7.58,7.7,7.32,7.42,376688.88
2024-09-15,7.41,7.58,6.79,6.87,359552.36
2024-09-16,6.87,7.05,6.55,6.67,499531.45
2024-09-17,6.67,7.87,6.57,7.85,1248065.1
2024-09-18,7.84,8.67,7.72,8.61,1650378.1
2024-09-19,8.61,9.44,8.35,8.99,1552564.4
2024-09-20,8.99,9.23,8.5,8.69,842933.82
2024-09-21,8.69,9.17,8.37,9.0,556024.61
2024-09-22,9.01,9.73,8.73,9.06,1393259.46
2024-09-23,9.06,9.83,8.83,9.16,992822.27
2024-09-24,9.16,9.26,8.52,9.1,784419.41
2024-09-25,9.11,9.72,9.06,9.27,794274.17
2024-09-26,9.27,10.2,9.18,10.13,1173809.82
2024-09-27,10.13,10.51,9.69,9.85,916043.49
2024-09-28,9.85,10.29,9.45,9.74,573678.97
2024-09-29,9.75,10.53,9.39,10.39,801646.46
2024-09-30,10.38,10.54,9.65,9.77,695123.25
2024-10-01,9.75,10.49,8.32,8.49,1032745.25
2024-10-02,8.49,9.56,8.31,8.61,932131.49
2024-10-03,8.6,9.48,7.98,8.22,1346612.52
2024-10-04,8.22,9.08,7.99,8.39,1109968.28
2024-10-05,8.39,9.1,8.26,8.75,691274.5
2024-10-06,8.76,9.02,8.51,8.81,479429.89
2024-10-07,8.81,9.57,8.74,9.14,1028165.04
2024-10-08,9.15,9.48,8.51,8.68,837466.41
2024-10-09,8.7,9.02,8.26,8.37,625124.99
2024-10-10,8.37,8.5,7.8,8.2,533710.77
2024-10-11,8.2,9.08,8.17,8.87,558862.83
2024-10-12,8.87,9.39,8.64,9.14,567694.68
2024-10-13,9.14,9.28,8.58,9.06,437108.86
2024-10-14,9.07,10.35,8.88,10.31,1025312.08
2024-10-15,10.31,10.53,9.41,9.68,1021911.14
2024-10-16,9.67,9.69,8.83,9.03,684868.87
2024-10-17,9.03,9.19,8.62,8.83,535262.74
2024-10-18,8.83,9.1,8.73,9.07,531688.25
2024-10-19,9.07,9.3,8.8,9.0,439625.08
2024-10-20,9.0,9.14,8.84,9.08,178640.4
