timestamp,open,high,low,close,volume
2024-02-29,0.05,4.3,0.05,2.398,135141483.0
2024-03-01,2.3962,2.5239,2.1474,2.2854,53912668.2
2024-03-02,2.2844,2.2969,2.0125,2.1593,34106818.4
2024-03-03,2.1594,2.47,1.97,2.3696,40036243.4
2024-03-04,2.3696,2.3797,2.1,2.1516,21493862.2
2024-03-05,2.1504,2.26,1.8891,2.0536,27970541.6
2024-03-06,2.0536,2.1756,1.9784,2.152,16761877.9
2024-03-07,2.1526,2.3417,2.1,2.3144,19613655.9
2024-03-08,2.3145,2.44,2.1,2.2219,22104507.1
2024-03-09,2.2221,2.6819,2.198,2.5443,45535138.3
2024-03-10,2.5461,2.8017,2.45,2.5277,40718861.0
2024-03-11,2.5277,2.7,2.4003,2.4817,28205544.6
2024-03-12,2.4823,2.5887,2.25,2.4574,29501598.6
2024-03-13,2.4581,2.55,2.398,2.484,25353587.2
2024-03-14,2.4841,2.638,2.3111,2.6067,32831083.1
2024-03-15,2.6057,2.6329,2.1522,2.314,22863156.9
2024-03-16,2.314,2.5119,2.0755,2.1364,23411560.8
2024-03-17,2.1353,2.2261,2.0,2.1863,13904537.0
2024-03-18,2.1873,2.2123,1.9198,1.9668,14557763.5
2024-03-19,1.9675,1.9836,1.61,1.7503,29789622.0
2024-03-20,1.7503,1.9672,1.6524,1.9404,19133923.6
2024-03-21,1.9405,2.04,1.89,1.9276,17017866.9
2024-03-22,1.9276,1.9803,1.82,1.8792,11969797.1
2024-03-23,1.8792,1.9523,1.836,1.8377,7587033.6
2024-03-24,1.8384,1.9164,1.801,1.9067,7375858.1
2024-03-25,1.9063,2.0425,1.8742,2.0233,16301212.6
2024-03-26,2.0234,2.1489,1.995,2.1128,20318653.8
2024-03-27,2.1128,2.3012,2.0501,2.0977,24810684.7
2024-03-28,2.0978,2.3547,2.0922,2.1323,26096942.9
2024-03-29,2.1323,2.145,1.9547,1.9812,15032559.8
2024-03-30,1.9811,2.0276,1.9176,1.9359,10909276.6
2024-03-31,1.9359,1.99,1.9182,1.9752,8101147.0
2024-04-01,1.9755,1.9843,1.7535,1.859,17368864.9
2024-04-02,1.8597,1.9161,1.7102,1.7309,16638145.6
2024-04-03,1.7313,1.81,1.65,1.701,15164560.9
2024-04-04,1.7003,1.7988,1.63,1.7142,13601400.2
2024-04-05,1.7149,1.7191,1.5531,1.5963,12745961.6
2024-04-06,1.5963,1.6921,1.5833,1.6674,9406671.0
2024-04-07,1.6675,1.7136,1.6213,1.6508,10229045.1
2024-04-08,1.6508,1.7312,1.6,1.6992,16376632.3
2024-04-09,1.6991,1.7098,1.5399,1.5597,14407978.4
2024-04-10,1.5598,1.5722,1.4257,1.5156,16368871.7
2024-04-11,1.5153,1.5482,1.41,1.4241,11181569.2
2024-04-12,1.4236,1.4594,0.963,1.1507,38347549.1
2024-04-13,1.1506,1.1507,0.7616,0.894,44737231.9
2024-04-14,0.8941,1.0326,0.8408,0.9955,25408861.4
2024-04-15,0.9956,1.0805,0.9022,0.9636,21903509.6
2024-04-16,0.9635,1.014,0.9135,0.9911,12043427.5
2024-04-17,0.9907,0.9987,0.8849,0.974,14146577.6
2024-04-18,0.9735,1.004,0.9189,0.9712,9335756.9
2024-04-19,0.9709,1.0554,0.8677,1.0006,15035722.1
2024-04-20,0.9999,1.1178,0.9766,1.0924,9053994.2
2024-04-21,1.092,1.099,1.015,1.0462,7704039.3
2024-04-22,1.0462,1.1178,1.0243,1.0658,10607711.4
2024-04-23,1.0649,1.1044,0.993,1.0466,10889643.1
2024-04-24,1.0472,1.1181,0.9445,0.9586,13339152.4
2024-04-25,0.9583,0.9743,0.9001,0.94,11740304.6
2024-04-26,0.94,0.946,0.8779,0.8884,10194387.9
2024-04-27,0.8881,0.9325,0.8422,0.9068,8035615.6
2024-04-28,0.9069,0.9539,0.8879,0.8976,7130179.9
2024-04-29,0.8963,0.9063,0.8416,0.8828,9678421.5
2024-04-30,0.8832,0.8998,0.7658,0.8118,11435494.5
2024-05-01,0.8118,0.8289,0.7311,0.8017,12622098.1
2024-05-02,0.8018,0.8382,0.7642,0.8159,9661539.4
2024-05-03,0.816,0.8501,0.7795,0.8383,9827572.6
2024-05-04,0.8386,0.8685,0.8205,0.8236,6820401.0
2024-05-05,0.8235,0.889,0.8023,0.8513,9261952.1
2024-05-06,0.8516,0.8873,0.8016,0.803,11712730.4
2024-05-07,0.8035,0.8699,0.7844,0.7863,13041202.5
2024-05-08,0.7856,0.7909,0.7392,0.7531,13283797.6
2024-05-09,0.7526,0.8586,0.7367,0.8166,16119950.7
2024-05-10,0.8158,0.835,0.7487,0.7576,12337279.7
2024-05-11,0.7574,0.8528,0.7511,0.8065,17241901.7
2024-05-12,0.8062,0.9338,0.793,0.822,42492839.6
2024-05-13,0.822,0.8343,0.7515,0.7846,20122649.0
2024-05-14,0.7847,0.8033,0.7354,0.7473,9425180.0
2024-05-15,0.7475,0.7995,0.7384,0.7918,12225910.7
2024-05-16,0.7913,0.8091,0.7398,0.7631,10817505.8
2024-05-17,0.7631,0.8093,0.7513,0.792,9473191.0
2024-05-18,0.7919,0.8164,0.7662,0.7924,8991952.0
2024-05-19,0.7928,0.8242,0.7429,0.7504,8207429.6
2024-05-20,0.7506,0.7985,0.7046,0.7977,18678657.1
2024-05-21,0.7978,0.835,0.7814,0.8182,16630290.8
2024-05-22,0.8182,0.8454,0.7804,0.8156,13136138.8
2024-05-23,0.8161,0.853,0.7513,0.8137,18399250.5
2024-05-24,0.8138,0.8656,0.7909,0.8185,12589563.3
2024-05-25,0.8181,0.8761,0.8179,0.8403,12791822.1
2024-05-26,0.8403,0.8938,0.8255,0.8807,15270582.8
2024-05-27,0.8801,0.9265,0.8646,0.9235,21005247.9
2024-05-28,0.9234,0.9234,0.85,0.8713,16747097.6
2024-05-29,0.8715,0.9177,0.835,0.8417,13826712.9
2024-05-30,0.8417,0.875,0.8007,0.8243,13467846.1
2024-05-31,0.8241,0.8644,0.813,0.8454,9664134.5
2024-06-01,0.8454,0.8898,0.8302,0.8775,11463972.6
2024-06-02,0.8774,1.1134,0.8748,1.029,90902305.4
2024-06-03,1.0287,1.2624,1.0,1.0385,96953188.1
2024-06-04,1.0387,1.11,0.9915,0.9978,34022612.8
2024-06-05,0.9978,1.0232,0.9818,1.007,21894093.6
2024-06-06,1.0071,1.0455,0.9597,0.9793,16546246.8
2024-06-07,0.9797,0.9906,0.75,0.8611,25952688.5
2024-06-08,0.8609,0.8718,0.7968,0.8052,11726256.6
2024-06-09,0.8047,0.8371,0.7885,0.8164,8153722.3
2024-06-10,0.816,0.8174,0.7699,0.7729,10709536.2
2024-06-11,0.7729,0.7797,0.7,0.7152,16165897.3
2024-06-12,0.7155,0.7557,0.6703,0.7266,16630272.0
2024-06-13,0.7263,0.7269,0.6639,0.6731,11404587.3
2024-06-14,0.6733,0.6945,0.611,0.6416,13775022.4
2024-06-15,0.6416,0.6612,0.6346,0.6414,5111223.4
2024-06-16,0.6416,0.657,0.6265,0.6455,4619219.2
2024-06-17,0.6448,0.6519,0.55,0.5671,15137330.2
2024-06-18,0.5673,0.5696,0.4518,0.4991,26837078.4
2024-06-19,0.4995,0.5168,0.4876,0.5001,10005754.3
2024-06-20,0.5001,0.527,0.4835,0.4934,10787377.2
2024-06-21,0.4932,0.508,0.4739,0.4862,9313378.3
2024-06-22,0.4863,0.498,0.4733,0.4836,5970819.1
2024-06-23,0.4836,0.5048,0.4561,0.4656,8296364.6
2024-06-24,0.4656,0.5093,0.4231,0.5033,18325414.6
2024-06-25,0.5031,0.513,0.4924,0.4936,8492617.4
2024-06-26,0.4934,0.5088,0.4712,0.479,8303294.6
2024-06-27,0.4786,0.5014,0.4616,0.4872,9220630.1
2024-06-28,0.4868,0.4959,0.4576,0.4596,8443804.8
2024-06-29,0.4597,0.4762,0.4471,0.448,6801511.6
2024-06-30,0.4478,0.4756,0.441,0.4721,8643781.7
2024-07-01,0.4717,0.4867,0.4402,0.4469,10556600.6
2024-07-02,0.4467,0.4511,0.4263,0.4405,12999156.2
2024-07-03,0.4405,0.4461,0.3973,0.402,18326890.2
2024-07-04,0.402,0.4048,0.3464,0.3535,20005576.9
2024-07-05,0.3532,0.3546,0.2891,0.31,43545681.1
2024-07-06,0.3102,0.3655,0.3075,0.3573,15221860.1
2024-07-07,0.3572,0.3869,0.3446,0.3484,26628009.3
2024-07-08,0.3484,0.45,0.3297,0.3758,30953277.1
2024-07-09,0.3757,0.3964,0.3666,0.3864,13974896.1
2024-07-10,0.3864,0.4045,0.3802,0.3947,11048697.8
2024-07-11,0.3944,0.4017,0.373,0.3758,11612962.4
2024-07-12,0.3758,0.3895,0.3654,0.3762,8929755.4
2024-07-13,0.3763,0.3865,0.3702,0.3768,7314429.8
2024-07-14,0.3767,0.398,0.3736,0.3943,7295991.8
2024-07-15,0.3943,0.4288,0.3917,0.4259,10663597.5
2024-07-16,0.4265,0.4378,0.3967,0.4308,13734012.7
2024-07-17,0.4308,0.462,0.4198,0.4455,15182042.8
2024-07-18,0.4463,0.472,0.4342,0.4499,20044140.2
2024-07-19,0.4501,0.4588,0.4275,0.454,11812577.3
2024-07-20,0.4541,0.4739,0.4434,0.4507,10727784.6
2024-07-21,0.4507,0.465,0.413,0.4555,13609112.4
2024-07-22,0.4561,0.4643,0.4182,0.4209,11881641.4
2024-07-23,0.4207,0.4333,0.3922,0.3951,13041503.9
2024-07-24,0.3951,0.4045,0.3693,0.376,9130933.7
2024-07-25,0.3759,0.3787,0.3456,0.3622,13641569.8
2024-07-26,0.3621,0.3914,0.3593,0.3861,10264855.2
2024-07-27,0.3858,0.4065,0.3816,0.3952,12962220.8
2024-07-28,0.3951,0.3982,0.3711,0.3773,5168823.4
2024-07-29,0.3771,0.4015,0.3752,0.3781,9820761.6
2024-07-30,0.3782,0.3866,0.3458,0.3471,9567723.0
2024-07-31,0.347,0.3632,0.3395,0.341,12882715.1
2024-08-01,0.3408,0.3438,0.3041,0.3359,17159094.6
2024-08-02,0.3359,0.343,0.2952,0.2983,16206960.9
2024-08-03,0.2983,0.3065,0.2703,0.2775,14442745.1
2024-08-04,0.2775,0.2851,0.2493,0.2641,19334611.6
2024-08-05,0.2638,0.2669,0.2035,0.2239,75447388.7
2024-08-06,0.224,0.2574,0.2237,0.2488,20238298.3
2024-08-07,0.2486,0.2655,0.2399,0.2437,17929394.0
2024-08-08,0.2436,0.2815,0.2381,0.279,17099375.6
2024-08-09,0.279,0.2796,0.2616,0.2694,13614713.7
2024-08-10,0.2694,0.2761,0.2649,0.2732,6871557.2
2024-08-11,0.2732,0.2794,0.2451,0.2482,12300468.7
2024-08-12,0.2482,0.2802,0.2452,0.2772,19812244.5
2024-08-13,0.2772,0.2909,0.2646,0.2737,18291023.0
2024-08-14,0.2737,0.2763,0.2572,0.2636,10468086.3
2024-08-15,0.2637,0.2708,0.2452,0.2485,11751684.3
2024-08-16,0.2485,0.2517,0.2353,0.2446,12336994.9
2024-08-17,0.2443,0.2535,0.2413,0.2531,8373592.1
2024-08-18,0.253,0.2863,0.2491,0.2674,26511484.5
2024-08-19,0.2673,0.2951,0.2632,0.274,32930639.8
