timestamp,open,high,low,close,volume
2021-11-26,30.39,50.0,28.59,36.0,3361838.141
2021-11-27,36.0,42.5,31.55,37.23,925004.39
2021-11-28,37.24,43.0,33.52,38.75,494871.346
2021-11-29,38.77,49.1,37.2,41.48,1044096.582
2021-11-30,41.48,46.92,40.0,44.57,430262.564
2021-12-01,44.53,49.78,40.99,41.11,673650.704
2021-12-02,41.08,44.17,36.38,38.1,509216.251
2021-12-03,38.08,42.5,32.27,35.11,437535.631
2021-12-04,35.24,35.49,24.63,30.0,858660.21
2021-12-05,29.91,34.8,25.5,26.35,691400.049
2021-12-06,26.4,31.3,18.8,27.93,1555743.96
2021-12-07,27.93,35.3,27.32,29.7,1729653.028
2021-12-08,29.68,31.21,26.4,28.27,683458.989
2021-12-09,28.3,29.85,23.73,27.63,995588.025
2021-12-10,27.64,29.73,24.77,25.09,822714.198
2021-12-11,25.02,29.15,24.55,28.0,425342.844
2021-12-12,28.0,32.7,26.87,29.49,754484.564
2021-12-13,29.55,29.55,20.68,23.35,4136516.858
2021-12-14,23.34,23.65,17.62,20.95,1560693.901
2021-12-15,20.95,23.99,19.18,22.58,1220221.398
2021-12-16,22.56,24.32,21.35,22.26,585101.94
2021-12-17,22.25,23.63,20.09,21.12,732995.122
2021-12-18,21.14,21.51,20.27,20.67,291803.941
2021-12-19,20.66,22.0,14.08,16.85,4862101.863
2021-12-20,16.82,17.55,15.27,15.99,1370408.222
2021-12-21,15.99,20.55,15.6,19.73,1537809.905
2021-12-22,19.74,20.92,18.0,18.39,847401.722
2021-12-23,18.38,23.3,17.92,22.35,1358612.763
2021-12-24,22.35,23.5,11.95,17.64,5544994.156
2021-12-25,17.64,18.83,16.59,17.88,811366.014
2021-12-26,17.88,18.06,16.11,17.12,869245.717
2021-12-27,17.14,20.25,17.01,18.66,1086930.169
2021-12-28,18.68,18.68,15.44,16.3,1182512.12
2021-12-29,16.27,16.85,15.6,15.85,554830.691
2021-12-30,15.85,16.46,14.47,15.1,734724.074
2021-12-31,15.1,15.84,14.28,14.71,785011.385
2022-01-01,14.71,15.97,14.59,15.4,421852.953
2022-01-02,15.4,16.21,15.13,16.02,431305.358
2022-01-03,16.02,16.02,14.75,14.91,345155.383
2022-01-04,14.9,15.35,14.4,14.41,392079.458
2022-01-05,14.4,15.3,11.82,12.13,1263884.626
2022-01-06,12.12,14.95,11.57,13.25,1565784.751
2022-01-07,13.26,13.69,11.64,11.85,1309474.6
2022-01-08,11.85,12.23,10.62,11.19,682136.177
2022-01-09,11.21,14.99,11.0,12.98,2262032.846
2022-01-10,12.98,14.38,11.59,14.31,1541917.668
2022-01-11,14.32,14.77,13.13,14.01,1125439.525
2022-01-12,14.0,15.08,13.28,14.9,835621.546
2022-01-13,14.9,16.79,14.19,15.14,1504451.18
2022-01-14,15.14,16.45,14.25,15.8,976436.873
2022-01-15,15.79,16.6,15.32,15.99,614877.014
2022-01-16,15.99,16.24,14.75,14.84,552527.852
2022-01-17,14.84,14.87,12.85,13.3,842548.172
2022-01-18,13.29,13.53,12.07,13.09,576873.123
2022-01-19,13.07,13.07,11.34,11.41,733404.089
2022-01-20,11.41,12.72,10.77,10.84,972110.354
2022-01-21,10.85,11.3,8.67,8.98,1316853.72
2022-01-22,8.95,9.3,6.72,8.0,1554660.115
2022-01-23,8.01,8.99,7.78,8.47,856733.175
2022-01-24,8.46,8.46,6.68,8.05,1485541.958
2022-01-25,8.05,10.67,7.79,9.72,1948702.381
2022-01-26,9.72,11.0,9.18,9.94,1539180.39
2022-01-27,9.93,11.33,9.26,10.39,1311361.288
2022-01-28,10.4,11.0,9.82,10.47,799355.424
2022-01-29,10.46,11.05,10.06,10.43,663579.969
2022-01-30,10.45,10.55,9.47,9.87,648653.13
2022-01-31,9.87,12.0,9.22,11.57,1250971.766
2022-02-01,11.59,14.37,11.42,13.32,2399306.482
2022-02-02,13.31,14.16,11.77,11.92,1851052.213
2022-02-03,11.92,12.54,11.33,12.16,1063780.47
2022-02-04,12.18,14.39,11.92,14.17,2244735.726
2022-02-05,14.16,15.3,13.8,14.65,1536033.26
2022-02-06,14.65,15.1,14.07,14.98,986274.466
2022-02-07,14.99,16.37,14.53,15.2,1507896.763
2022-02-08,15.17,15.6,13.43,14.4,1686533.372
2022-02-09,14.39,15.68,13.53,15.29,1233787.889
2022-02-10,15.33,15.36,13.5,13.67,1507644.086
2022-02-11,13.68,14.97,12.14,12.64,1305877.017
2022-02-12,12.62,13.2,12.03,12.85,1213318.33
2022-02-13,12.84,12.89,11.93,11.93,770846.769
2022-02-14,11.93,14.39,11.35,12.76,1071251.058
2022-02-15,12.76,14.66,12.68,14.49,1087831.253
2022-02-16,14.49,14.6,13.58,14.28,526059.642
2022-02-17,14.24,14.62,12.27,12.46,832839.322
2022-02-18,12.47,13.41,11.86,11.91,743656.75
2022-02-19,11.92,12.52,11.52,11.77,460953.819
2022-02-20,11.76,11.78,10.13,10.67,841649.911
2022-02-21,10.66,11.81,9.9,9.92,1125660.793
2022-02-22,9.92,10.55,9.45,10.26,1025613.447
2022-02-23,10.27,11.3,9.75,9.82,912171.287
2022-02-24,9.82,9.94,8.02,9.32,2465808.764
2022-02-25,9.32,10.38,9.16,10.22,1071244.33
2022-02-26,10.2,11.02,10.0,10.41,819988.92
2022-02-27,10.41,10.97,9.85,10.11,936600.433
2022-02-28,10.11,11.19,9.89,11.16,1031307.693
2022-03-01,11.16,12.45,10.74,12.05,1286909.333
2022-03-02,12.01,12.34,11.29,11.51,898480.016
2022-03-03,11.53,11.92,10.66,10.92,808538.649
2022-03-04,10.94,10.97,9.41,9.64,937200.212
2022-03-05,9.64,10.16,9.26,9.94,527611.063
2022-03-06,9.95,10.09,9.11,9.18,577805.518
2022-03-07,9.18,9.94,8.85,9.24,760097.76
2022-03-08,9.23,9.66,8.94,9.14,749286.043
2022-03-09,9.13,10.25,9.11,9.85,902753.709
2022-03-10,9.85,9.87,9.03,9.16,549622.814
2022-03-11,9.17,9.27,8.86,8.95,503926.345
2022-03-12,8.94,9.28,8.88,8.94,345899.643
2022-03-13,8.93,9.25,8.3,8.35,452853.879
2022-03-14,8.34,8.79,8.04,8.47,736099.502
2022-03-15,8.47,8.53,8.06,8.22,611800.379
2022-03-16,8.22,9.0,8.18,8.95,1026496.371
2022-03-17,8.97,9.03,8.79,8.84,291825.042
2022-03-18,8.84,8.94,8.34,8.81,543108.085
2022-03-19,8.82,10.87,8.73,10.17,1875782.416
2022-03-20,10.16,10.2,9.15,9.36,594885.9
2022-03-21,9.37,10.01,9.19,9.46,554459.506
2022-03-22,9.46,10.1,9.41,9.69,594085.672
2022-03-23,9.7,10.19,9.47,10.04,518022.558
2022-03-24,10.05,10.77,9.96,10.64,790220.996
2022-03-25,10.64,10.7,9.87,9.9,488483.582
2022-03-26,9.91,10.15,9.86,9.99,231580.832
2022-03-27,9.99,10.73,9.94,10.67,517293.424
2022-03-28,10.67,14.8,10.62,12.57,3618756.684
2022-03-29,12.55,14.21,12.51,13.26,2008293.894
2022-03-30,13.26,14.25,12.76,13.32,1208083.096
2022-03-31,13.32,14.99,12.88,13.03,1630153.137
2022-04-01,13.03,16.36,12.32,15.53,2136832.428
2022-04-02,15.52,18.4,14.99,15.17,3809190.935
2022-04-03,15.17,18.2,15.01,17.55,1536843.787
2022-04-04,17.57,19.6,15.4,18.41,2870265.588
2022-04-05,18.42,19.75,16.3,16.31,2736723.954
2022-04-06,16.33,17.96,14.57,14.63,3173768.601
2022-04-07,14.61,17.0,14.27,14.9,2749512.861
2022-04-08,14.91,16.26,13.06,13.54,2201994.54
2022-04-09,13.54,13.73,12.44,13.57,1203549.259
2022-04-10,13.58,15.2,13.22,13.59,2185804.36
2022-04-11,13.63,13.78,11.56,11.87,2124450.241
2022-04-12,11.87,12.91,11.14,12.08,1624190.09
2022-04-13,12.1,13.44,11.66,12.95,1866079.218
2022-04-14,12.97,13.6,11.59,11.79,1401691.068
2022-04-15,11.79,12.53,11.78,12.18,716537.992
2022-04-16,12.17,12.2,11.5,11.8,378654.232
2022-04-17,11.79,12.31,11.6,11.69,1034001.502
2022-04-18,11.71,12.35,11.17,12.21,1531980.685
2022-04-19,12.2,13.7,12.04,13.46,1649823.603
2022-04-20,13.46,14.13,12.25,12.99,1898017.517
2022-04-21,13.0,13.97,12.1,12.35,1464850.869
2022-04-22,12.35,12.73,11.58,11.72,985571.759
2022-04-23,11.72,12.02,11.26,11.76,988363.332
2022-04-24,11.76,12.03,10.88,10.95,799852.605
2022-04-25,10.95,11.29,9.9,11.08,1253450.788
2022-04-26,11.08,11.19,9.83,10.01,1248879.459
2022-04-27,10.0,10.49,9.63,9.9,911572.846
2022-04-28,9.9,10.5,9.64,10.09,1405889.42
2022-04-29,10.09,10.31,8.59,8.86,1151130.665
2022-04-30,8.86,9.09,7.66,7.79,814623.894
2022-05-01,7.79,8.64,7.78,8.33,797086.4
2022-05-02,8.33,9.14,7.85,8.9,1088532.339
