timestamp,open,high,low,close,volume
2024-04-03,0.05,1.86,0.05,1.31,382732824.6
2024-04-04,1.309,1.397,1.02,1.075,212565495.7
2024-04-05,1.075,1.087,0.912,0.971,144274193.3
2024-04-06,0.97,1.171,0.928,1.057,146043454.9
2024-04-07,1.057,1.09,0.984,1.008,76156187.4
2024-04-08,1.008,1.049,0.969,0.992,96478599.7
2024-04-09,0.991,1.003,0.834,0.846,132787853.5
2024-04-10,0.846,0.88,0.783,0.838,102692290.4
2024-04-11,0.838,0.84,0.751,0.779,89006571.4
2024-04-12,0.779,0.815,0.508,0.604,162990238.9
2024-04-13,0.604,0.642,0.452,0.542,113344821.3
2024-04-14,0.542,0.723,0.526,0.711,124990267.0
2024-04-15,0.711,0.712,0.606,0.656,86406130.2
2024-04-16,0.656,0.657,0.565,0.611,55151748.1
2024-04-17,0.61,0.628,0.539,0.566,44700474.2
2024-04-18,0.566,0.605,0.537,0.593,50871219.2
2024-04-19,0.593,0.625,0.532,0.589,80899304.2
2024-04-20,0.589,0.667,0.572,0.657,52233055.9
2024-04-21,0.656,0.677,0.6,0.613,46588536.1
2024-04-22,0.613,0.682,0.61,0.642,53965081.1
2024-04-23,0.641,0.659,0.586,0.593,55901403.1
2024-04-24,0.593,0.61,0.537,0.546,42321920.1
2024-04-25,0.545,0.674,0.525,0.656,109390635.3
2024-04-26,0.656,0.66,0.582,0.586,58154521.6
2024-04-27,0.587,0.624,0.548,0.619,41159599.6
2024-04-28,0.618,0.674,0.589,0.629,48063880.5
2024-04-29,0.63,0.699,0.576,0.68,109568250.9
2024-04-30,0.681,0.701,0.577,0.607,97519583.6
2024-05-01,0.607,0.699,0.588,0.688,123819351.4
2024-05-02,0.687,0.777,0.63,0.726,144265071.3
2024-05-03,0.727,0.761,0.701,0.738,105134061.6
2024-05-04,0.739,0.776,0.719,0.728,91357871.6
2024-05-05,0.728,0.743,0.661,0.675,81292191.9
2024-05-06,0.675,0.708,0.637,0.647,70561918.8
2024-05-07,0.647,0.667,0.623,0.634,44911437.7
2024-05-08,0.634,0.66,0.602,0.605,50385590.3
2024-05-09,0.605,0.642,0.595,0.63,29992613.8
2024-05-10,0.63,0.651,0.586,0.597,34894236.7
2024-05-11,0.596,0.616,0.582,0.595,23278890.3
2024-05-12,0.595,0.608,0.585,0.591,15188797.1
2024-05-13,0.591,0.596,0.537,0.548,52716238.4
2024-05-14,0.548,0.553,0.513,0.528,77711530.6
2024-05-15,0.528,0.578,0.522,0.57,35854291.8
2024-05-16,0.57,0.583,0.522,0.538,31583395.6
2024-05-17,0.537,0.57,0.532,0.555,18639812.0
2024-05-18,0.554,0.572,0.542,0.56,19050598.9
2024-05-19,0.56,0.571,0.526,0.531,13021075.5
2024-05-20,0.531,0.574,0.51,0.573,32582559.5
2024-05-21,0.573,0.59,0.558,0.582,41117204.4
2024-05-22,0.582,0.587,0.546,0.576,25964441.9
2024-05-23,0.576,0.598,0.516,0.556,49757984.2
2024-05-24,0.556,0.581,0.546,0.561,22392647.4
2024-05-25,0.561,0.609,0.557,0.574,33035625.5
2024-05-26,0.575,0.587,0.555,0.562,24987842.3
2024-05-27,0.561,0.645,0.561,0.633,76440074.7
2024-05-28,0.633,0.638,0.571,0.593,50427325.8
2024-05-29,0.593,0.626,0.576,0.58,44336766.4
2024-05-30,0.58,0.603,0.56,0.565,33152573.2
2024-05-31,0.564,0.602,0.557,0.588,34148606.6
2024-06-01,0.588,0.609,0.579,0.597,20791911.8
2024-06-02,0.597,0.678,0.593,0.632,101890716.8
